Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,790,750,940,980,980,1090,1140,1300,1330,1570,1770,1740,1990,2140,2230,2300,2240,2360,2460,2620,2580,2160,2130,2210,..,..
Burkina Faso,BFA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,900,940,960,1030,1070,1160,1240,1290,1350,1340,1410,1470,1530,1600,1590,1610,1800,1970,2010,2140,2280,2340,2470,2610,2720,..
Cameroon,CMR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1990,2050,2140,2290,2480,2530,2670,2760,2830,2870,2890,2960,3010,3180,3360,3450,3570,3700,3940,4150,4280,4720,5060,5300,5490,..
Central African Republic,CAF,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,630,660,680,650,680,700,740,780,790,870,940,980,1070,720,710,780,840,930,970,1060,1130,1210,1280,1330,1340,..
"Congo, Dem. Rep.",COD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,410,380,400,420,440,460,490,530,550,550,580,610,610,700,790,850,930,960,1010,990,1060,1360,1510,1680,1760,..
Ethiopia,ETH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,470,510,510,490,550,620,690,770,850,900,990,1100,1180,1250,1480,1630,1850,1990,2090,2230,2390,2580,2830,3050,3280,..
Haiti,HTI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2230,2230,2240,2320,2320,2420,2510,2650,2730,2860,2700,2870,2840,3050,3090,3030,3260,3350,3210,3250,3110,3150,3280,3290,3190,..
Iraq,IRQ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,10560,10640,9340,5970,9300,9550,10360,10960,11970,12010,12330,12900,14470,14600,13090,9250,8990,10110,11940,12190,10470,12610,14340,14710,14530,..
Lebanon,LBN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8090,8250,8200,7440,9240,9930,10380,11700,12600,13500,14510,14880,16050,16240,15950,16870,18640,20880,21540,21190,15740,10650,11710,12420,..,..
Mali,MLI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1130,1250,1250,1390,1850,1860,1920,1910,1970,1940,2020,1990,1940,2010,2120,2290,2480,2540,2620,2720,2630,2700,2910,3060,3230,..
Mozambique,MOZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,460,510,520,600,660,690,750,810,870,930,970,1050,1070,1110,1150,1290,1350,1250,1300,1360,1380,1430,1460,1530,1520,..
Myanmar,MMR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,950,1070,1200,1380,1600,1860,2150,2460,2750,3040,3350,3580,3690,4010,4180,4300,4340,4560,5430,5900,5630,5100,5610,5800,5890,..
